model_id,test_epoch,train_rows,test_rows
dq2_process_hgb_l7_r5,18,20369,1799
dq2_process_hgb_l7_r5,19,22168,732
dq2_process_hgb_l7_r5,20,22900,528
dq2_process_hgb_l7_r5,21,23428,230
dq2_process_hgb_l7_r5,22,23658,130
dq2_process_hgb_l15_r10,8,3290,1449
dq2_process_hgb_l15_r10,9,4739,1602
dq2_process_hgb_l15_r10,10,6341,1629
dq2_process_hgb_l15_r10,11,7970,1748
dq2_process_hgb_l15_r10,12,9718,1645
dq2_process_hgb_l15_r10,13,11363,1876
dq2_process_hgb_l15_r10,14,13239,1640
dq2_process_hgb_l15_r10,15,14879,1808
dq2_process_hgb_l15_r10,16,16687,1872
dq2_process_hgb_l15_r10,17,18559,1810
dq2_process_hgb_l15_r10,18,20369,1799
dq2_process_hgb_l15_r10,19,22168,732
dq2_process_hgb_l15_r10,20,22900,528
dq2_process_hgb_l15_r10,21,23428,230
dq2_process_hgb_l15_r10,22,23658,130
dq2_outcome_ridge_a0.1,8,3290,1449
dq2_outcome_ridge_a0.1,9,4739,1602
dq2_outcome_ridge_a0.1,10,6341,1629
dq2_outcome_ridge_a0.1,11,7970,1748
dq2_outcome_ridge_a0.1,12,9718,1645
dq2_outcome_ridge_a0.1,13,11363,1876
dq2_outcome_ridge_a0.1,14,13239,1640
dq2_outcome_ridge_a0.1,15,14879,1808
dq2_outcome_ridge_a0.1,16,16687,1872
dq2_outcome_ridge_a0.1,17,18559,1810
dq2_outcome_ridge_a0.1,18,20369,1799
dq2_outcome_ridge_a0.1,19,22168,732
dq2_outcome_ridge_a0.1,20,22900,528
dq2_outcome_ridge_a0.1,21,23428,230
dq2_outcome_ridge_a0.1,22,23658,130
dq2_outcome_ridge_a1,8,3290,1449
dq2_outcome_ridge_a1,9,4739,1602
dq2_outcome_ridge_a1,10,6341,1629
dq2_outcome_ridge_a1,11,7970,1748
dq2_outcome_ridge_a1,12,9718,1645
dq2_outcome_ridge_a1,13,11363,1876
dq2_outcome_ridge_a1,14,13239,1640
dq2_outcome_ridge_a1,15,14879,1808
dq2_outcome_ridge_a1,16,16687,1872
dq2_outcome_ridge_a1,17,18559,1810
dq2_outcome_ridge_a1,18,20369,1799
dq2_outcome_ridge_a1,19,22168,732
dq2_outcome_ridge_a1,20,22900,528
dq2_outcome_ridge_a1,21,23428,230
dq2_outcome_ridge_a1,22,23658,130
dq2_outcome_ridge_a10,8,3290,1449
dq2_outcome_ridge_a10,9,4739,1602
dq2_outcome_ridge_a10,10,6341,1629
dq2_outcome_ridge_a10,11,7970,1748
dq2_outcome_ridge_a10,12,9718,1645
dq2_outcome_ridge_a10,13,11363,1876
dq2_outcome_ridge_a10,14,13239,1640
dq2_outcome_ridge_a10,15,14879,1808
dq2_outcome_ridge_a10,16,16687,1872
dq2_outcome_ridge_a10,17,18559,1810
dq2_outcome_ridge_a10,18,20369,1799
dq2_outcome_ridge_a10,19,22168,732
dq2_outcome_ridge_a10,20,22900,528
dq2_outcome_ridge_a10,21,23428,230
dq2_outcome_ridge_a10,22,23658,130
dq2_outcome_ridge_a100,8,3290,1449
dq2_outcome_ridge_a100,9,4739,1602
dq2_outcome_ridge_a100,10,6341,1629
dq2_outcome_ridge_a100,11,7970,1748
dq2_outcome_ridge_a100,12,9718,1645
dq2_outcome_ridge_a100,13,11363,1876
dq2_outcome_ridge_a100,14,13239,1640
dq2_outcome_ridge_a100,15,14879,1808
dq2_outcome_ridge_a100,16,16687,1872
dq2_outcome_ridge_a100,17,18559,1810
dq2_outcome_ridge_a100,18,20369,1799
dq2_outcome_ridge_a100,19,22168,732
dq2_outcome_ridge_a100,20,22900,528
dq2_outcome_ridge_a100,21,23428,230
dq2_outcome_ridge_a100,22,23658,130
dq2_outcome_elastic_a0.001_l0.1,8,3290,1449
dq2_outcome_elastic_a0.001_l0.1,9,4739,1602
dq2_outcome_elastic_a0.001_l0.1,10,6341,1629
dq2_outcome_elastic_a0.001_l0.1,11,7970,1748
dq2_outcome_elastic_a0.001_l0.1,12,9718,1645
dq2_outcome_elastic_a0.001_l0.1,13,11363,1876
dq2_outcome_elastic_a0.001_l0.1,14,13239,1640
dq2_outcome_elastic_a0.001_l0.1,15,14879,1808
dq2_outcome_elastic_a0.001_l0.1,16,16687,1872
dq2_outcome_elastic_a0.001_l0.1,17,18559,1810
dq2_outcome_elastic_a0.001_l0.1,18,20369,1799
dq2_outcome_elastic_a0.001_l0.1,19,22168,732
dq2_outcome_elastic_a0.001_l0.1,20,22900,528
dq2_outcome_elastic_a0.001_l0.1,21,23428,230
dq2_outcome_elastic_a0.001_l0.1,22,23658,130
dq2_outcome_elastic_a0.01_l0.1,8,3290,1449
dq2_outcome_elastic_a0.01_l0.1,9,4739,1602
dq2_outcome_elastic_a0.01_l0.1,10,6341,1629
dq2_outcome_elastic_a0.01_l0.1,11,7970,1748
dq2_outcome_elastic_a0.01_l0.1,12,9718,1645
dq2_outcome_elastic_a0.01_l0.1,13,11363,1876
dq2_outcome_elastic_a0.01_l0.1,14,13239,1640
dq2_outcome_elastic_a0.01_l0.1,15,14879,1808
dq2_outcome_elastic_a0.01_l0.1,16,16687,1872
dq2_outcome_elastic_a0.01_l0.1,17,18559,1810
dq2_outcome_elastic_a0.01_l0.1,18,20369,1799
dq2_outcome_elastic_a0.01_l0.1,19,22168,732
dq2_outcome_elastic_a0.01_l0.1,20,22900,528
dq2_outcome_elastic_a0.01_l0.1,21,23428,230
dq2_outcome_elastic_a0.01_l0.1,22,23658,130
dq2_outcome_elastic_a0.01_l0.5,8,3290,1449
dq2_outcome_elastic_a0.01_l0.5,9,4739,1602
dq2_outcome_elastic_a0.01_l0.5,10,6341,1629
dq2_outcome_elastic_a0.01_l0.5,11,7970,1748
dq2_outcome_elastic_a0.01_l0.5,12,9718,1645
dq2_outcome_elastic_a0.01_l0.5,13,11363,1876
dq2_outcome_elastic_a0.01_l0.5,14,13239,1640
dq2_outcome_elastic_a0.01_l0.5,15,14879,1808
dq2_outcome_elastic_a0.01_l0.5,16,16687,1872
dq2_outcome_elastic_a0.01_l0.5,17,18559,1810
dq2_outcome_elastic_a0.01_l0.5,18,20369,1799
dq2_outcome_elastic_a0.01_l0.5,19,22168,732
dq2_outcome_elastic_a0.01_l0.5,20,22900,528
dq2_outcome_elastic_a0.01_l0.5,21,23428,230
